Quarter,Assets
q1-2022,2215585899464.4688
q2-2022,2.23665E+12
q3-2022,2.25772E+12
q4-2022,2.27879E+12
q1-2023,2299854667721.5312
q3-2003,6.56614E+11
q4-2003,6.77681E+11
q1-2004,698748070837.4062
q2-2004,719815262901.6562
q3-2004,740882454965.9375
q4-2004,761949647030.1875
q1-2005,783016839094.4688
q2-2005,804084031158.7188
q3-2005,8.25151E+11
q4-2005,8.46218E+11
q1-2006,867285607351.5312
q2-2006,888352799415.7812
q3-2006,909419991480.0625
q4-2006,930487183544.3125
q1-2007,951554375608.5938
q2-2007,972621567672.8438
q3-2007,993688759737.0938
q4-2007,1014755951801.375
q1-2008,1035823143865.625
q2-2008,1056890335929.9062
q3-2008,1077957527994.1562
q4-2008,1099024720058.4375
q1-2009,1120091912122.6875
q2-2009,1141159104186.9688
q3-2009,1162226296251.2188
q4-2009,1.18329E+12
q1-2010,1.20436E+12
q2-2010,1225427872444.0312
q3-2010,1246495064508.2812
q4-2010,1267562256572.5625
q1-2011,1288629448636.8125
q2-2011,1309696640701.0938
q3-2011,1330763832765.3438
q4-2011,1351831024829.625
q1-2012,1372898216893.875
q2-2012,1393965408958.1562
q3-2012,1415032601022.4062
q4-2012,1436099793086.6562
q1-2013,1457166985150.9375
q2-2013,1478234177215.1875
q3-2013,1499301369279.4688
q4-2013,1520368561343.7188
q1-2014,1.54144E+12
q2-2014,1.5625E+12
q3-2014,1583570137536.5312
q4-2014,1604637329600.7812
q1-2015,1625704521665.0625
q2-2015,1646771713729.3125
q3-2015,1667838905793.5938
q4-2015,1688906097857.8438
q1-2016,1709973289922.125
q2-2016,1731040481986.375
q3-2016,1752107674050.6562
q4-2016,1773174866114.9062
q1-2017,1794242058179.1875
q2-2017,1815309250243.4375
q3-2017,1836376442307.6875
q4-2017,1857443634371.9688
q1-2018,1878510826436.2188
q2-2018,1.89958E+12
q3-2018,1.92065E+12
q4-2018,1941712402629.0312
q1-2019,1962779594693.2812
q2-2019,1983846786757.5625
q3-2019,2004913978821.8125
q4-2019,2025981170886.0938
q1-2020,2047048362950.3438
q2-2020,2068115555014.625
q3-2020,2089182747078.875
q4-2020,2110249939143.1562
q1-2021,2131317131207.4062
q2-2021,2152384323271.6875
q3-2021,2173451515335.9375
q4-2021,2194518707400.2188
q1-2022,2215585899464.4688
q2-2022,2.23665E+12
q3-2022,2.25772E+12
q4-2022,2.27879E+12
q1-2023,2299854667721.5312
q3-2003,6.56614E+11
q4-2003,6.77681E+11
q1-2004,698748070837.4062
q2-2004,719815262901.6562
q3-2004,740882454965.9375
q4-2004,761949647030.1875
q1-2005,783016839094.4688
q2-2005,804084031158.7188
q3-2005,8.25151E+11
q4-2005,8.46218E+11
q1-2006,867285607351.5312
q2-2006,888352799415.7812
q3-2006,909419991480.0625
q4-2006,930487183544.3125
q1-2007,951554375608.5938
q2-2007,972621567672.8438
q3-2007,993688759737.0938
q4-2007,1014755951801.375
q1-2008,1035823143865.625
q2-2008,1056890335929.9062
q3-2008,1077957527994.1562
q4-2008,1099024720058.4375
q1-2009,1120091912122.6875
q2-2009,1141159104186.9688
q3-2009,1162226296251.2188
q4-2009,1.18329E+12
q1-2010,1.20436E+12
q2-2010,1225427872444.0312
q3-2010,1246495064508.2812
q4-2010,1267562256572.5625
q1-2011,1288629448636.8125
q2-2011,1309696640701.0938
q3-2011,1330763832765.3438
q4-2011,1351831024829.625
q1-2012,1372898216893.875
q2-2012,1393965408958.1562
q3-2012,1415032601022.4062
q4-2012,1436099793086.6562
q1-2013,1457166985150.9375
q2-2013,1478234177215.1875
q3-2013,1499301369279.4688
q4-2013,1520368561343.7188
q1-2014,1.54144E+12
q2-2014,1.5625E+12
q3-2014,1583570137536.5312
q4-2014,1604637329600.7812
q1-2015,1625704521665.0625
q2-2015,1646771713729.3125
q3-2015,1667838905793.5938
q4-2015,1688906097857.8438
q1-2016,1709973289922.125
q2-2016,1731040481986.375
q3-2016,1752107674050.6562
q4-2016,1773174866114.9062
q1-2017,1794242058179.1875
q2-2017,1815309250243.4375
q3-2017,1836376442307.6875
q4-2017,1857443634371.9688
q1-2018,1878510826436.2188
q2-2018,1.89958E+12
q3-2018,1.92065E+12
q4-2018,1941712402629.0312
q1-2019,1962779594693.2812
q2-2019,1983846786757.5625
q3-2019,2004913978821.8125
q4-2019,2025981170886.0938
q1-2020,2047048362950.3438
q2-2020,2068115555014.625
q3-2020,2089182747078.875
q4-2020,2110249939143.1562
q1-2021,2131317131207.4062
q2-2021,2152384323271.6875
q3-2021,2173451515335.9375
q4-2021,2194518707400.2188
q1-2022,2215585899464.4688
q2-2022,2.23665E+12
q3-2022,2.25772E+12
q4-2022,2.27879E+12
q1-2023,2299854667721.5312
q3-2003,6.56614E+11
q4-2003,6.77681E+11
q1-2004,698748070837.4062
q2-2004,719815262901.6562
q3-2004,740882454965.9375
q4-2004,761949647030.1875
q1-2005,783016839094.4688
q2-2005,804084031158.7188
q3-2005,8.25151E+11
q4-2005,8.46218E+11
q1-2006,867285607351.5312
q2-2006,888352799415.7812
q3-2006,909419991480.0625
q4-2006,930487183544.3125
q1-2007,951554375608.5938
q2-2007,972621567672.8438
q3-2007,993688759737.0938
q4-2007,1014755951801.375
q1-2008,1035823143865.625
q2-2008,1056890335929.9062
q3-2008,1077957527994.1562
q4-2008,1099024720058.4375
q1-2009,1120091912122.6875
q2-2009,1141159104186.9688
q3-2009,1162226296251.2188
q4-2009,1.18329E+12
q1-2010,1.20436E+12
q2-2010,1225427872444.0312
q3-2010,1246495064508.2812
q4-2010,1267562256572.5625
q1-2011,1288629448636.8125
q2-2011,1309696640701.0938
q3-2011,1330763832765.3438
q4-2011,1351831024829.625
q1-2012,1372898216893.875
q2-2012,1393965408958.1562
q3-2012,1415032601022.4062
q4-2012,1436099793086.6562
q1-2013,1457166985150.9375
q2-2013,1478234177215.1875
q3-2013,1499301369279.4688
q4-2013,1520368561343.7188
q1-2014,1.54144E+12
q2-2014,1.5625E+12
q3-2014,1583570137536.5312
q4-2014,1604637329600.7812
q1-2015,1625704521665.0625
q2-2015,1646771713729.3125
q3-2015,1667838905793.5938
q4-2015,1688906097857.8438
q1-2016,1709973289922.125
q2-2016,1731040481986.375
q3-2016,1752107674050.6562
q4-2016,1773174866114.9062
q1-2017,1794242058179.1875
q2-2017,1815309250243.4375
q3-2017,1836376442307.6875
q4-2017,1857443634371.9688
q1-2018,1878510826436.2188
q2-2018,1.89958E+12
q3-2018,1.92065E+12
q4-2018,1941712402629.0312
q1-2019,1962779594693.2812
q2-2019,1983846786757.5625
q3-2019,2004913978821.8125
q4-2019,2025981170886.0938
q1-2020,2047048362950.3438
q2-2020,2068115555014.625
q3-2020,2089182747078.875
q4-2020,2110249939143.1562
q1-2021,2131317131207.4062
q2-2021,2152384323271.6875
q3-2021,2173451515335.9375
q4-2021,2194518707400.2188
q1-2022,2215585899464.4688
q2-2022,2.23665E+12
q3-2022,2.25772E+12
q4-2022,2.27879E+12
q1-2023,2299854667721.5312
